nome,grupo,subgrupo,medida
Abacaxi Perola,ALIMENTOS,HORTIFRUTI,KG
Abobrinha Italiana,ALIMENTOS,HORTIFRUTI,KG
Absinto,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Aceto Balsâmico De Nigris 25%,ALIMENTOS,SECOS,LITRO
Acucar Cristal Sache - Un,ALIMENTOS,SECOS,UNID
Acucar Glacucar Refinado,ALIMENTOS,SECOS,KG
Acucar Mascavo Sache - Un,ALIMENTOS,SECOS,UNID
Acucar Refinado,ALIMENTOS,SECOS,KG
Adocante Sache - Un,ALIMENTOS,SECOS,UNID
Agnollotti Di Agnelo - Un,ALIMENTOS,SECOS,KG
Agua Com Gas Lata 310Ml - Un,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua Com Gas Pet - Un,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua De Coco Kero Coco - L,BEBIDAS NÃO ALCOOLICAS,AGUAS,LITRO
Agua Garrafa Pet Com Gas - Un,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua Minalba Com Gas Vidro,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua Minalba Sem Gas Vidro,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua Panna,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua Pet Sem Gas 510Ml - Un,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua Prata Com Gas 510Ml - Un,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua Prata Com Gas Vidro,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua Prata Sem Gas Vidro,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua San Pellegrino,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Agua Sem Gas Lata 310Ml,BEBIDAS NÃO ALCOOLICAS,AGUAS,UNID
Alcaparra Aberto,ALIMENTOS,SECOS,KG
Alcaparra Fechado,ALIMENTOS,SECOS,KG
Alcaparrones Aberto,ALIMENTOS,SECOS,KG
Alcaparrones Fechado,ALIMENTOS,SECOS,KG
Alcatra Com Maminha - Kg,ALIMENTOS,PROTEINAS,KG
Alcool De Cereal (5Litros),BEBIDAS ALCOOLICAS,MANIPULADOS/PRODUZIDOS,UNID
Alecrim - Kg,ALIMENTOS,HORTIFRUTI,KG
Alf Crespa Hidrop,ALIMENTOS,HORTIFRUTI,KG
Alfa Crux,VINHOS,,UNID
Alface Frisee,ALIMENTOS,HORTIFRUTI,KG
Alface Roxa Hidro,ALIMENTOS,HORTIFRUTI,KG
Alho,ALIMENTOS,HORTIFRUTI,KG
Alion Consignado - Un,VINHOS,VINHO TINTO,UNID
Amancaya Malb. Cabernet Sauvig,VINHOS,VINHO TINTO,UNID
Amaro Averna,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Amaro Lucano,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Amaro Ramazzotti Aperitivo,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Amarone Della Valpolicella Classico Consignado -Un,VINHOS,VINHO TINTO,UNID
Amendoas Fatiadas S/ Pele,ALIMENTOS,SECOS,KG
Amora - Kg,ALIMENTOS,HORTIFRUTI,KG
Amora Congelada - Kg,ALIMENTOS,HORTIFRUTI,KG
Ancho - Kg,ALIMENTOS,PROTEINAS,KG
Anchova - Kg,ALIMENTOS,PROTEINAS,KG
Angostura Caribean,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Aperitivo Brasilberg,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Aperitivo Cynar 900 Ml,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Aperitivo Lillet,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Aperol,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Arroz Branco,ALIMENTOS,SECOS,KG
Atum File Limpo,ALIMENTOS,PROTEINAS,KG
Atum File Sujo,ALIMENTOS,PROTEINAS,KG
Awamori,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Azeite Extra Virgem,ALIMENTOS,SECOS,LITRO
Azeitona Verde Siciliana,BEBIDAS NÃO ALCOOLICAS,SECOS,KG
Bacardi Reserva Limitada,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Barbera D'Asti L'Avvocata,VINHOS,VINHO TINTO,UNID
Barolo Francesco Rinaldi - Un,VINHOS,,UNID
Base Aperol Spritz,BEBIDAS ALCOOLICAS,MANIPULADOS/PRODUZIDOS,LITRO
Base Brandade,ALIMENTOS,MANIPULADOS/PRODUZIDOS,KG
Base Carbonara,ALIMENTOS,MANIPULADOS/PRODUZIDOS,KG
Base Negroni Hendryx,BEBIDAS ALCOOLICAS,MANIPULADOS/PRODUZIDOS,LITRO
Base Tiramisu,ALIMENTOS,MANIPULADOS/PRODUZIDOS,KG
Basilico,ALIMENTOS,HORTIFRUTI,KG
Bastioni Chianti Classico - Un,VINHOS,,UNID
Batata Asterix,ALIMENTOS,HORTIFRUTI,KG
Batata Asterix - Marcada,ALIMENTOS,HORTIFRUTI,KG
Batata Asterix - Palha,ALIMENTOS,HORTIFRUTI,KG
Batata Asterix - Palitada,ALIMENTOS,HORTIFRUTI,KG
Batata Bolinha,ALIMENTOS,HORTIFRUTI,KG
Baunilha Granel - Kg,ALIMENTOS,SECOS,KG
Bayanegra Tempranillo,VINHOS,VINHO TINTO,UNID
Bechamel,ALIMENTOS,MANIPULADOS/PRODUZIDOS,KG
Bechamel Verde,ALIMENTOS,MANIPULADOS/PRODUZIDOS,KG
Bergamoncello,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Beringela,ALIMENTOS,HORTIFRUTI,KG
Berinjela A Parmegiana,ALIMENTOS,MANIPULADOS/PRODUZIDOS,UNID
Beterraba,ALIMENTOS,HORTIFRUTI,KG
Billaud Simon Chablis - Un,VINHOS,VINHO BRANCO,UNID
Biscoito Amenteigado - Un,BEBIDAS NÃO ALCOOLICAS,SECOS,UNID
Biscoito Champanhe,ALIMENTOS,SECOS,KG
Bisteca Suina Congelada - Kg,ALIMENTOS,PROTEINAS,KG
Bitter Angostura Aromatic,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Bitter Angostura Cocoa,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Bitter Angostura Orange,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Bitter Peychauds,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Blend Vermoute,BEBIDAS ALCOOLICAS,MANIPULADOS/PRODUZIDOS,LITRO
Blend Vermouth,BEBIDAS ALCOOLICAS,MANIPULADOS/PRODUZIDOS,LITRO
Bloody Mix,BEBIDAS ALCOOLICAS,MANIPULADOS/PRODUZIDOS,LITRO
Bolo Cipriani G,ALIMENTOS,SOBREMESAS,FATIA
Bolo De Chocolate Gato - Un,ALIMENTOS,SOBREMESAS,UNID
Bottoni Mozzarella - Kg,ALIMENTOS,MASSAS,KG
Boulevardie,BEBIDAS ALCOOLICAS,MANIPULADOS/PRODUZIDOS,UNID
Bourbon Woodford Reserve Gfa,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Branca Fernet Italy 39 Aperitivo,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Brandade De Bacalhau,ALIMENTOS,,UNID
Brocolis Japones,ALIMENTOS,HORTIFRUTI,KG
Brunello Di Montalcino Biondi Santi Consignado- Un,VINHOS,VINHO TINTO,UNID
Brunello Di Montalcino Fattoi,VINHOS,,UNID
Burbim - Kg,ALIMENTOS,HORTIFRUTI,KG
Cabo De Aluminio 140Cm - Un,ALIMENTOS,USO E CONSUMO,UNID
Cacau Em Pó,ALIMENTOS,SECOS,KG
"Cachaca Aptk Prata Grf 0,750 Ml",BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Cachaca Dona Filo Prata,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Cachaca Espirito De Minas - L,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Cachaca Princesa Isabel Jaqueira 500Ml,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Cachaca Princesa Isabel Prata - L,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Cachaça Leblon 750Ml,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Cachaça Leblon Merlet,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
Cachaça Weber Haus 7 Madeiras 750 Ml,BEBIDAS ALCOOLICAS,DESTILADOS,LITRO
