GRUPO,SUB GRUPO,CÓDIGO,NOME,MEDIDA,PREÇO ,RENDIMENTO
ALIMENTOS,DOCES,1000500600,Chocolate Calleb Amargo 50% Kg,KG,"R$148,68",1
ALIMENTOS,HORTIFRUTI,1001500200,Abacaxi Perola,KG,"R$7,00",1
ALIMENTOS,HORTIFRUTI,1001500700,Abobrinha Italiana,KG,"R$7,00",1
ALIMENTOS,HORTIFRUTI,1001501000,Alecrim - Kg,KG,"R$70,00",1
ALIMENTOS,HORTIFRUTI,1001501100,Alf Crespa Hidrop,KG,"R$11,20",1
ALIMENTOS,HORTIFRUTI,1001501400,Alface Frisee,KG,"R$36,32",1
ALIMENTOS,HORTIFRUTI,1001501900,Alface Roxa Hidro,KG,"R$14,00",1
ALIMENTOS,HORTIFRUTI,1001502200,Alho,KG,"R$18,20",1
ALIMENTOS,HORTIFRUTI,1001502600,Amora - Kg,KG,"R$294,00",1
ALIMENTOS,HORTIFRUTI,1001502700,Amora Congelada - Kg,KG,"R$55,30",1
ALIMENTOS,HORTIFRUTI,1001503300,Basilico,KG,"R$49,00",1
ALIMENTOS,HORTIFRUTI,1001503400,Batata Asterix,KG,"R$6,39",1
ALIMENTOS,HORTIFRUTI,1001503400,Batata Asterix - Marcada,KG,"R$6,39","1,9"
ALIMENTOS,HORTIFRUTI,1001503400,Batata Asterix - Palha,KG,"R$6,39",4
ALIMENTOS,HORTIFRUTI,1001503400,Batata Asterix - Palitada,KG,"R$6,39","1,05"
ALIMENTOS,HORTIFRUTI,1001503700,Batata Bolinha,KG,"R$7,28",1
ALIMENTOS,HORTIFRUTI,1001504200,Beringela,KG,"R$7,70",1
ALIMENTOS,HORTIFRUTI,1001504400,Beterraba,KG,"R$7,39",1
ALIMENTOS,HORTIFRUTI,1001504700,Brocolis Japones,KG,"R$13,34",1
ALIMENTOS,HORTIFRUTI,1001521600,Burbim - Kg,KG,"R$11,13",1
ALIMENTOS,HORTIFRUTI,1001505500,Cebola,KG,"R$5,83",1
ALIMENTOS,HORTIFRUTI,1001505600,Cebola Roxa,KG,"R$7,23",1
ALIMENTOS,HORTIFRUTI,1001505800,Cebolinha - Kg,KG,"R$8,73",1
ALIMENTOS,HORTIFRUTI,1001505900,Cenoura G,KG,"R$10,11",1
ALIMENTOS,HORTIFRUTI,1001506100,Cereja Amarena Fechado,KG,"R$112,90",1
ALIMENTOS,HORTIFRUTI,1001506100,Cereja Amarena Aberto,KG,"R$112,90",2
ALIMENTOS,HORTIFRUTI,1001524000,Chumichurry- Kg,KG,"R$67,50",1
ALIMENTOS,HORTIFRUTI,1001506600,Coentro - Kg,KG,"R$28,00",1
ALIMENTOS,HORTIFRUTI,1001507100,Couve Flor,KG,"R$21,54",1
ALIMENTOS,HORTIFRUTI,1001507000,Couve - Kg,KG,"R$8,93",1
ALIMENTOS,HORTIFRUTI,1001508300,Folha De Capuchinha - Kg,KG,"R$814,00",1
ALIMENTOS,HORTIFRUTI,1001508500,Framboesa,KG,"R$309,12",1
ALIMENTOS,HORTIFRUTI,1001508600,Framboesa Congelada - Kg,KG,"R$75,60",1
ALIMENTOS,HORTIFRUTI,1001508800,Gengibre - Kg,KG,"R$13,24",1
BEBIDAS NÃO ALCOOLICAS,HORTIFRUTI,1001509100,Hortela - Kg,KG,"R$16,80",1
ALIMENTOS,HORTIFRUTI,1001510200,Louro - Kg,KG,,1
ALIMENTOS,HORTIFRUTI,1001510700,Mandioca - Kg,KG,,1
BEBIDAS NÃO ALCOOLICAS,HORTIFRUTI,1001511200,Maracuja - Kg,KG,"R$9,80",1
ALIMENTOS,HORTIFRUTI,1001511300,Melancia - Kg,KG,"R$4,87",1
ALIMENTOS,HORTIFRUTI,1001511700,Micro Rucula,KG,"R$44,80",1
ALIMENTOS,HORTIFRUTI,1001522300,Mix De Pimenta,KG,"R$103,20",1
ALIMENTOS,HORTIFRUTI,1001512400,Ovo Branco,UNID,"R$0,66",1
ALIMENTOS,HORTIFRUTI,1001512800,Pera - Kg,KG,"R$12,63",1
ALIMENTOS,HORTIFRUTI,1001522500,Pera Williams - Kg,KG,"R$6,90",1
ALIMENTOS,HORTIFRUTI,1001514000,Pimentao Amarelo - Kg,KG,"R$21,00",1
ALIMENTOS,HORTIFRUTI,1001514100,Pimentao Verde - Kg,KG,,1
ALIMENTOS,HORTIFRUTI,1001514200,Pimentao Vermelho - Kg,KG,"R$21,00",1
ALIMENTOS,HORTIFRUTI,1001514500,Radiccio - Kg,KG,"R$37,72",1
ALIMENTOS,HORTIFRUTI,1001515000,Rucula Hidro,KG,"R$12,86",1
ALIMENTOS,HORTIFRUTI,1001515200,Salsa Comum,KG,"R$11,20",1
ALIMENTOS,HORTIFRUTI,1001515400,Salsao - Kg,KG,"R$6,30",1
ALIMENTOS,HORTIFRUTI,1001515500,Salvia,KG,"R$98,00",1
ALIMENTOS,HORTIFRUTI,1001515800,Tangerina Exportacao - Kg,KG,"R$12,60",1
ALIMENTOS,HORTIFRUTI,1001515900,Tomate Atomico - Kg,KG,"R$41,30",1
ALIMENTOS,HORTIFRUTI,1001516200,Tomate Cereja C/ Cabinho,KG,"R$28,00",1
ALIMENTOS,HORTIFRUTI,1001516400,Tomate Holandes,KG,"R$14,00",1
ALIMENTOS,HORTIFRUTI,1001516800,Tomate Sweet Grape Amarelo,KG,"R$29,40",1
ALIMENTOS,HORTIFRUTI,1001516900,Tomilho - Kg,KG,"R$98,00",1
ALIMENTOS,HORTIFRUTI,1001517001,Trevo - Kg,KG,"R$737,00",1
ALIMENTOS,LATICINIOS,1002500200,Creme De Leite Fresco,KG,"R$23,50",1
ALIMENTOS,LATICINIOS,1002505600,Creme Culinario (Creme De Leite) - Kg,KG,"R$9,90",1
ALIMENTOS,LATICINIOS,1002500900,Leite Uht Integral,LITRO,"R$7,33",1
ALIMENTOS,LATICINIOS,1002501000,Manteiga Bloco,KG,"R$29,00",1
ALIMENTOS,LATICINIOS,1002501100,Manteiga Caccio Pepe,Kg,"R$132,36",1
ALIMENTOS,LATICINIOS,1002501800,Queijo Burrata,KG,"R$98,00",1
ALIMENTOS,LATICINIOS,1002502400,Queijo Em Tiras,KG,"R$51,50",1
ALIMENTOS,LATICINIOS,1002502600,Queijo Gorgonzola,KG,"R$54,36",1
ALIMENTOS,LATICINIOS,1002503000,Queijo Mascarpone,KG,"R$78,64",1
ALIMENTOS,LATICINIOS,1002503200,Queijo Mussarela De Bufala,KG,"R$59,74",1
ALIMENTOS,LATICINIOS,1002503300,Queijo Parmesao Forma,KG,"R$114,45",1
ALIMENTOS,LATICINIOS,1002503500,Queijo Parmesao Ralado,KG,"R$114,45",1
ALIMENTOS,LATICINIOS,1002503600,Queijo Pecorino Romano,KG,"R$210,00",1
ALIMENTOS,LATICINIOS,1002504400,Stracciatella,KG,"R$69,50",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Base Carbonara,KG,"R$103,24",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Base Tiramisu,KG,"R$103,24",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Bechamel,KG,"R$6,81",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Bechamel Verde,KG,"R$5,31",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Berinjela A Parmegiana,UNID,"R$13,89",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Calda De Chocolate,KG,"R$97,51",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Calda De Frutas Vermelhas,KG,"R$11,66",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Calda De Tangerina,KG,"R$120,04",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Caldo De Camarao,KG,"R$3,12",1
